Summary,Description,Custom field (Epic Link),Component/s,Component/s
segment.lengde ikke riktig ved segmentering,"Det ser ut som veglenkesegment.lengde og veglenkesegment.geometri.lengde har verdi fra orginal veglenke.
https://github.com/nvdb-vegdata/nvdb-api-client/issues/102

*Test*

Sjekk at lengde og geometri.lengde er like i disse veglenkesegmentene:
https://nvdbapiles-v3.atlas.vegvesen.no/vegnett/veglenkesekvenser/segmentert/2721409?historisk=false&srid=6173 ",NVDB-6937,NVDB-IND,
Får ikke registrert objekt med allerede registrert datter,"h2. Observasjon

Har et Leskur og Holdeplassutrustning. Leskur trenger ikke mor, men kan være barn av Holdeplass. Hvis man registrerer Leskur først, deretter assosierer Holdeplass til barn i kontrakten (les: Leskur), så vil Registrer-knapp ligge inaktiv på eksportfanen for Holdeplass. GUI gir inntrykk av at alt er greit, men kallet /submittability_report viser at ""MISSING_RELATION_IN_CHANGESET: 1"".

For å gjenskape, importer vedlagte SOSI og følg beskrivelsen.

For å komme rundt må bruker heller assosiere til NVDB-utgaven av Leskuret, men dette er vanskelig å finne ut av selv når man klart ser - og vet - at det er Leskur i kontrakten som er det riktige Leskuret.",NVDB-6937,Datafangst,
Intern feil når NVDB-objekt er borte,"h2. Observasjon

Under registrering så hentes info inn fra API Les om ulike objekter. I et tilfelle som ble oppdaget under support-feilsøk så er det et tilfelle hvor en versjon av et objekt er borte. Type respons som mottas fra Les (HTTP 410):
{noformat}
[ { ""code"" : 4016, ""message"" : ""Feature 86180198, version 2 of type 14 gone!"", ""help_url"" : ""https://nvdbapiles-v3.atlas.vegvesen.no/dokumentasjon/"" } ]
{noformat}
Da reagerer Datafangst med
{noformat}
javax.ws.rs.ProcessingException: Error reading entity from input stream.
...
Caused by: com.fasterxml.jackson.databind.exc.MismatchedInputException: Cannot deserialize instance of `no.svv.nvdb.datafangst.integration.nvdbapi.binding.lesV3.Vegobjekt` out of START_ARRAY toke
{noformat}
[https://vegdata.kantega.no/kibana/app/kibana#/doc/datafangst-logs-*/datafangst-logs-beats-6.8.13-2021.01.06/doc/?id=AsOW13YBLuQOkdqhz7LS]

[https://vegdata.kantega.no/kibana/app/kibana#/doc/datafangst-logs-*/datafangst-logs-beats-6.8.13-2021.01.06/doc/?id=BsOW13YBLuQOkdqhz7LT]

 ",NVDB-6937,Datafangst,
Vise beskrivende navn i stedfestingsfanen,"Når featuretoggle ""Beskrivende navn"" er satt skal beskrivende navn også vises i stedfestingsfanen.

Dette ble gjort i Angular-komponenten, men ble ikke implementert i React.",NVDB-6937,Datafangst,
Atlas-utrulling via Jenkinsfile feiler sporadisk,"Jenkins bygger applikasjonen og ruller ut i Atlas-UTV via Jenkinsfile. Dette feiler sporadisk, antagelig fordi /home/vegdata/.ac.yaml oppdateres med info fra andre byggejobber som ikke er kompatibel med NVDB API Skriv.

Jenkinsfile bør justeres slik at egen .ac.yaml etableres inne i workspace før Atlas Client-brukes. Dette er beskrevet her: https://atlas-docs.atlas.vegvesen.no/atlas-dokumentasjon/latest/client/byggserver.html",NVDB-6937,Skriv-API,
Skrivefeil i api-doc,"https://nvdbapiles-v3.atlas.vegvesen.no/dokumentasjon/openapi/#/Datakatalog/get_vegobjekttyper_version

Datakatalog: GET /vegobjekttyper/version -> GET /vegobjekttyper/*versjon*

PS: Trenger denne tasken noe mer innhold / info?",NVDB-6937,Les-API,
Avbruddssikkerhet i JobRetryService,"h2. Bakgrunn

JobRetryService er en separat tråd som kjører i NVDB API Skriv. Den søker etter endringssett som er flagget for et nytt behandlingsforsøk, dvs. endringssett i status VENTER_PÅ_LÅS eller VENTER_PÅ_DATAKATALOG. Tråden sparkes i gang hvert 30 sekund. Dersom det inntreffer et databaseavbrudd i samme øyeblikk som søket i JOBS-tabellen vil tråden dø, og (ser det ut for) aldri starte opp igjen.

h2. Analyser

Etter å ha sett på loggene i Splunk ser det ut til at JobRetryService fortsatt kjører etter SqlException. Tråden logger hver gang den startes av ExecutionService. Loggingen stopper plutselig uten at det er spor av andre exceptions i loggen.

Javadoc for ExecutorService sin scheduleAtFixedRate-metode indikerer at det ikke gjøres nye forsøk på å starte tråden om en exception kastes mens den kjører. Det er en catch-blokk i JobRetryService.run som fanger opp eventuelle exceptions, men det er en finally-blokk som potensielt også kan feile.

h2. Løsning

Etablerer en CatchingRunnable som kapsler inn JobRetryService.run og fanger alle exceptions og logger slike.",NVDB-6937,Skriv-API,
Skru av innloggingsdialog for kantega-adresser,"Brukere som går til Kantega-domener for Datafangst får fra før beskjed om å bruke Vegvesen-adresse i stedet. For å fortsette overgangen bør vi endre kode sånn at innloggings-dialogen ikke kommer opp for Kantega-domener.

 
h2. Implementasjon

Endret innloggingsinfo til å kun vises dersom url ikke inneholder ""kantega"".",NVDB-6937,Datafangst,
Mors endrede stedfesting må endre NVDB-datters stedfesting,"h2. Observasjon

Det har vært et gjentakende problem på support i det siste med at man importerer NVDB-objekter i kontrakten (typisk rettekontraktene rundt E18 Tvedestrand-Arendal), kanskje lukker et objekt og erstatter med et annet, men ender opp med å re-stedfeste NVDB-objekter. Disse har igjen døtre som ligger i NVDB. Ofte har vi da sett at ny stedfesting skiller seg fra den eksisterende - og gjerne bare på 3. eller 4.desimal.

Det generelle problemet er at man re-stedfester et NVDB-objekt som da vil få stedfesting som ikke fullstendig dekker NVDB-datters stedfesting, men som må det.

Et eksempel fra Jon Bråten på support (05-01-21 14:01, [https://datafangst.vegvesen.no/#!/contract/db3a2eb8-8673-4184-b35e-e4a357f23753/locational2]):
{noformat}
Nå har jeg støtt på et nytt problem med rekkverk og rekkverksende. Hvorfor får jeg feil på Tilstandsgrad?
{noformat}
!bråten.png!",NVDB-6937,Datafangst,
Uforutsigbare stedfestinger når mor har feil stedfesting fra VVI,"En feil i den gamle stedfestingsmetoden som benytter VVI gjorde at objekter fikk feil stedfesting (men riktig wkt). feilen er rettet (vi bruker ikke VVI lenger) men enkelte objekter er lagret til NVDB med feil verdier. 

Når vi prøver å stedfeste døtre til disse objektene vil døtrene få stedfestinger som også er helt feil, men de vil i motsetning til mødrene også se feil ut. 

Dette kan rettes ved å restedfeste mor. Vi kan legge inn en sjekk for om stedfestingen er helt feil i forhold til en ny stedfesting med Skriv, og enten gi tilbakemelding til bruker om at mor må stedfestes på nytt, eller automatisk restedfeste mor hvis det er mulig.

Se NVDB-6225",NVDB-6937,Datafangst,
NVDBIND stoppet transaksjonsbehandling etter infrastrukturproblemer,"NVDBIND stoppet å behandle transaksjoner etter infrastrukturproblemer 29. desember. 
Det er ingen feilmeldinger i loggen. ",NVDB-6937,NVDB-IND,
Overføre vegnummer fra Vegreferanse (532) til Vegsystem (915),"h2. Bakgrunn
 
Det store volumet når det gjelder vedlikehold av vegnettet for Kartverket er endringer og innleggelse av PV i NVDB, deriblant tildele unikt, ledig nummer for disse vegene. I dag gjøres dette parallelt i to vegreferansesystemer.

Dagens funksjonalitet for håndtering av dette på en effektiv måte, er funksjonalitet i NP/Vegnettseditoren basert på 532 Vegreferanse. 532 Vegreferanse vil fra 01.08.2021 ikke lengre ajourholdes og alle gyldige 532 objekt i NVDB, vil få satt en sluttdato. Dermed så vil dagens funksjonalitet måtte kodes om/endres.
 
Vegnettsgruppa og Kartverket har vurdert at den mest smidige og ikke minst fremtidsrettede løsningen, vil være funksjonalitet i SKRIV for tildeling av vegnummer for PV.  
 
Gitt avvikling av 532 Vegreferanse 1.8.2020 så må løsningen som lages nå, fungere frem til dette skjer. Her vil man kunne benytte seg av 532 Vegreferanse – dette objektet legges på av Quadri/Vegnettseditoren og skal vedlikeholdes frem til avvikling. Viktig at det er samsvar med 915 Vegsystem frem til 01.08.
Med kun noen måneder igjen, anses det lite hensiktsmessig å innføre ny arbeidsmetodikk rundt dette og vi ser for oss at SKRIV kan hente info. om vegnummer fra 532 Vegreferanse, som også sikrer samsvar mellom dem.
 
Frem til 01.08.2021 gjelder dette:

* SKRIV sjekker om det er 915 vegsystemobjekter uten nr i endringssettet og tar tak i disse (det vil i praksis være P-veger)
* SKRIV sjekker OM det finnes gyldig 532 vegreferanse på samme lenke/sted, der hvor vi har 915 Vegsystem uten nr. (dette skal eksistere via normal ajourholdsrutine):
* SKRIV henter vegnr fra 532 Vegreferanse og overføre til vegsystem 915 på disse lenkene.

Etter 01.08.2021 skal dette endres til en annen strategi. Dette er beskrevet i sak NVDB-6428.

h2. Analyse

Det er kun Vegsystem-objekter med vegkategori P uten angitt vegnummer-egenskap som skal behandles. Alle relevante operasjoner, det vil si registrer, korriger og oppdater m/overskriv (+ delvis-varianter), skal behandles. Dette gjelder selv om korrigeringen innebærer å fjerne vegnummer-egenskapen.

Vegnummer-egenskapen populeres med verdi fra tilsvarende egenskap på den/de Vegreferanse-objekt(er) med sammenfallende stedfesting og gyldighetsperiode. Dersom det er ingen slike skal endringssettet avvises med beskrivende feilmelding tilknyttet Vegsystem-objektet i endringssettet. Dersom det er flere sammenfallende Vegreferanse-objekter og disse har ulike vegnummere skal endringssettet også avvises med beskrivende feilmelding.

Dersom Vegreferanse-objektet sin vegnummer-egenskap ikke er populert (datafeil i NVDB), skal endringssettet avvises med beskrivende feilmelding tilknyttet Vegsystem-objektet i endringssettet.

Denne følgeoppdateringen må utføres etter at det er kontrollert at Vegreferanse er heldekkende.

---

Vegreferanser hentes inn i jobben i dag via filteret RoadRefEnricherFilter i BeforeLockingPipeline. Kontroll av heldekkende Vegreferanse gjøres i RefLinkPart-constraint CoveredByRoadReference som eksekveres i AfterLockingPipeline.

h2. Løsning

Nytt FeatureFilter, RoadNumberAttributeEnricherFilter, som legges inn i AfterLockingPipeline.",NVDB-6937,Skriv-API,
Etterarbeid etter overgang til nye startscript,"For Solr, Zookeeper og NVDBIND, fjern koden som ligger igjen midlertidig, søk etter:

""/sbin/chkconfig --del""",NVDB-6937,NVDB-IND,
Skrivefeil i feltkategori,"h2. Observasjon

Det er skrivefeil i feltkategori ved val av falt i Datafanen.

!image-2020-12-22-12-20-17-569.png!",NVDB-6937,Datafangst,
Finner ikke rute for objekt den bør finne rute for,"h2. Observasjon

Vedlagt SOSI vises som vedlagte skjermbilde i Datafangst, hvor det bør gå å finne en rute. Datafangst sender POST /rest/v3/stedfest?maksimumAvstandTilVeg=300&vegkategori=E&vegnummer=6&fase=V&typeVeg=KANALISERT_VEG%2CENKEL_BILVEG%2CRAMPE%2CRUNDKJ%C3%98RING%2CGATETUN
{noformat}
<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><vegobjekter xmlns=""http://nvdb.vegvesen.no/apiskriv/domain/changeset/v3""><vegobjekt typeId=""77"" tempId=""cb09eb7f-c308-4938-b392-ae728b2e960c""><egenskaper><egenskap typeId=""4778""><geometri><srid>25833</srid><wkt>LINESTRING (272775.11 6760327.12 241.83, 272775.32 6760326.95 241.85, 272777.72 6760325.95 241.93, 272778.35 6760325.65 241.95000000000002, 272778.64 6760324.2 242.01, 272779.07 6760322.4 242.12, 272781.35 6760320.28 242.20000000000002, 272784.11 6760317.69 242.34, 272785.73 6760316.3 242.39000000000001, 272788.75 6760313.84 242.47, 272793.42 6760310 242.59, 272798.06 6760306.13 242.69, 272802.74 6760302.31 242.84, 272807.35 6760298.65 242.93)</wkt><datafangstdato>2019-05-15</datafangstdato><referansegeometri>false</referansegeometri><kvalitet><målemetode>96</målemetode><målemetodeHøyde>96</målemetodeHøyde><nøyaktighet>10</nøyaktighet><nøyaktighetHøyde>10</nøyaktighetHøyde><synbarhet>0</synbarhet></kvalitet></geometri></egenskap></egenskaper><gyldighetsperiode><startdato>2020-12-21</startdato></gyldighetsperiode></vegobjekt></vegobjekter>
{noformat}
til Skriv som igjen sender POST /beta/vegnett/rute
{noformat}
{""geometri"":""LINESTRING (272775.11 6760327.12, 272778.35 6760325.65, 272779.07 6760322.4, 272784.11 6760317.69, 272807.35 6760298.65)"",""maks_avstand"":""300"",""konnekteringslenker"":true,""detaljerte_lenker"":false,""vegsystemreferanse"":""EV6"",""trafikantgruppe"":null,""typeveg"":""kanalisertVeg,enkelBilveg,rampe,rundkjøring,gatetun"",""tidspunkt_start"":""2020-12-21"",""tidspunkt_slutt"":null,""pretty"":false,""kortform"":false,""behold_trafikantgruppe"":true}
{noformat}
til Les.

Les gir tilbake svaret _IKKE_FUNNET_RUTE_.

 

*Løsning*

I tilfellet her skyldes det at nærmeste startpunkt og sluttpunkt havner på rampe og kanalisert_veg og det er ikke mulig å få en rute mellom de. I tilfeller der resultatet er ""IKKE_FUNNET_RUTE"" gjøres det et nytt forsøk med en intern ""beholdTypeVeg"". Når det sendes inn flere typeVeg i requesten (som i tilfellet her) prøver den alle til den finner første mulig rute. Første punkt i geometrien som sendes inn i requesten brukes for å velge hvilken typeVeg som testes først.",NVDB-6937,Les-API,
Paginering på /gater,"/omrader/gater er en stor respons, legg til paginering.",NVDB-6937,Les-API,
500 og NPE ved POST til /stedfest,"h2. Observasjon

POST https://nvdbapiskriv.test.atlas.vegvesen.no/rest/v3/stedfest med

{code:xml}
<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?>
<stedfest xmlns=""http://nvdb.vegvesen.no/apiskriv/domain/changeset/v3"">
  <parametere>
    <maksimalAvstandTilVeg>300</maksimalAvstandTilVeg>
    <veger>
      <veg>
        <kategori>E</kategori>
        <fase>V</fase>
        <nummer>0</nummer>
      </veg>
    </veger>
    <beregnSideposisjon>true</beregnSideposisjon>
  </parametere>
  <vegobjekter>
    <vegobjekt typeId=""96"" tempId=""bdd8e197-680d-40e9-91ac-7401e12a71b2"">
      <egenskaper>
        <egenskap typeId=""4795"">
          <geometri>
            <srid>25833</srid>
            <wkt>POINT (291464.82 7038427.63 33.733744518756865)</wkt>
            <datafangstdato>2014-07-29</datafangstdato>
            <temakode>999</temakode>
            <referansegeometri>false</referansegeometri>
            <kvalitet>
              <målemetode>96</målemetode>
              <målemetodeHøyde>96</målemetodeHøyde>
              <nøyaktighet>8</nøyaktighet>
              <nøyaktighetHøyde>8</nøyaktighetHøyde>
              <synbarhet>0</synbarhet>
            </kvalitet>
          </geometri>
        </egenskap>
      </egenskaper>
      <gyldighetsperiode>
        <startdato>2020-12-17</startdato>
      </gyldighetsperiode>
    </vegobjekt>
  </vegobjekter>
</stedfest>
{code}

Gir respons 500 med payload:

{code:xml}
<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?>
<fault xmlns=""http://nvdb.vegvesen.no/apiskriv/fault/v1"">
  <message>roadTypes</message>
</fault>
{code}

h2. Analyse

500-response skyldes at det kastes en NPE fordi typeVeger er null i RouteParams.withRoadTypes().

h2. Løsning

Fikset i NetElementTransforms.toRoadTypes() ved å returnere tomt EnumSet i stedet for null, når input er null.",NVDB-6937,Skriv-API,
Beregne stedfesting fra ankerpunkter,"Datafangst trenger å angi manuelle ankerpunkter for å få stedfestet vegobjekter mer presist. Skriv sin stedfestingstjeneste skal derfor godta én (punktstedfesting) eller to (strekningstedfesting) WKT-strenger med POINT-geometri i parameter-elementet som skal brukes til dette formålet. Disse benyttes til ruteberegning i stedet for egengeometrien til vegobjektene dersom de er angitt.
",NVDB-6937,Skriv-API,
tilbakemelding om vellykkede sammenkoblinger vises ikke,"h2. Observasjon

Ved sammenkobling lages det meldinger om at x antall vegobjekter har fått ny stedfesting, men meldingen vises ikke i GUI
h2. Analyse

Kan ikke finne meldingene.
h2. Løsning

Lager liste med vegobjektene som har fått ny stedfesting (roadObjectsWithUpdatedLocational).

Sender denne til frontend.

Viser fram en melding om at x antall vegobjekter har fått ny stedfesting.",NVDB-6937,Datafangst,
Manuelt angi stedfestingsposisjoner med ny stedfesting,"Det vil alltid være tilfeller der vi ikke klarer å finne en stedfesting, eller der vi ikke gjør helt det som bruker ønsker. Det bør derfor være en mulighet for å manuelt angi punkt eller start og slutt for stedfesting ved å klikke i kart, og så få dette som stedfesting tilbake med riktige vegsegmenter.

Det er mulig for Datafangst å beregne disse selv, men siden Skriv ellers gjør tilsvarende operasjoner kan det også vurderes om API i Skriv skal utvides (eller lages et nytt endepunkt) sånn at Datafangst kan sende inn koordinater eller posisjon og at Skriv lager en stedfesting av det.",NVDB-6937,Datafangst,
Test: Fullføre de automatiserte testene av Eksport,"NVDB-6175 har opprettet flere tester av SOSI- og CSV-eksport, men det står igjen å fullføre disse. det som skal gjøres:
 * Fullføre tomme tester i v3.apiExport.SosiExport
 * Fullføre tomme tester i v3.apiExport.CsvExport
 * Legge de nye testene inn i v3.apiExport.ApiExportScenario

Testene kan kjøres ved
{noformat}
/nvdb-rest-api/gradlew e2e -Denvironment=utv -DuseCase=v3Export -DtestInfo=true -DsimulationTime=900 -Dapihash=NA
{noformat}
og kjører nå nattlig mot UTV på Jenkins: [http://svvunvdbbuild02:8080/jenkins/view/NVDB%20API%20Les/job/NVDB%20Test%20Eksport%20-%20UTV/]

Under utvikling av testene kan en og en enables i usecase ""test"" ved å utkommentere aktuell test, for deretter å kjøre:
{noformat}
/nvdb-rest-api/gradlew e2e -Denvironment=utv -DuseCase=test -DtestInfo=true -DsimulationTime=900 -Dapihash=NA  
{noformat}",NVDB-6937,Eksport,
